tags,title
linshaye angussampson leighwhannell adamrobitel horror mystery thriller parapsychologist dr. elise rainier faces her most fearsome and personal haunting yet as she is drawn back to her ghostly childhood home where the terror began.,insidious: the last key
alexpettyfer jamesfreedson-jackson emilyalthaus laurenwolkstein drama thriller mysterious events surround two travelers as they make their way across a remote american landscape. on the surface all seems normal but what appears to be a simple vacation soon gives way to a dark and complex web of secrets.,the strange ones
dominiccooper austinstowell gemmachan simonwest action thriller a british special boat service commando tracks down an international terrorist cell.,stratton
bryanbrown samneill warwickthornton adventure crime drama australian western set on the northern territory frontier in the 1920s where justice itself is put on trial when an aged aboriginal farmhand shoots a white man in self-defense and goes on the run as a posse gathers to hunt him down.,sweet country
liamneeson verafarmiga patrickwilson jaumecollet-serra action mystery thriller an insurance salesman/ex-cop is caught up in a life-threatening conspiracy during his daily commute home.,the commuter
tarajip.henson billybrown dannyglover babaknajafi action crime drama mary is a hit woman working for an organized crime family in boston whose life is completely turned around when she meets a young boy whose path she crosses when a professional hit goes bad.,proud mary
"brucewillis colehauser shawnashmore brettdonowho action crime thriller at a bachelorette party in a nightclub the bride tells 2 guys offering blow to go away. they abduct her. the groom's 2 big brothers looked after their kid brother as kids and do so now again as veterans ""looking"" for her and the...",acts of violence
alexlawther abigailbreslin bettemidler trudiestyler comedy drama follows the story of teenager billy bloom who despite attending an ultra conservative high school makes the decision to run for homecoming queen.,freak show
jemaineclement elliottgould ingridmichaelson samhoffman comedy with an interminable case of writer's block and a personal family crisis playwright nate is forced to move into his father's retirement community.,humor me
adrianocarvalho luananastas danielathomas adventure drama brazil 1821. a rich cattle herder finds out that his wife dies in labor. forced to live in the property with numerous african slaves he marries his wife's niece. but he returns to droving leaving his wife behind alone with the s...,vazante
"rubybarnhill louisashbourneserkis katewinslet hiromasayonebayashi animation adventure family based on ""the little broomstick"" by mary stewart a strange flower grants a girl magic powers.",mary and the witch's flower
chrishemsworth michaelshannon michaelpeña nicolaifuglsig action drama history 12 strong tells the story of the first special forces team deployed to afghanistan after 9/11; under the leadership of a new captain the team must work with an afghan warlord to take down the taliban.,12 strong
