tags,title
jessicachastain lupitanyong'o penélopecruz simonkinberg action thriller when a top-secret weapon falls into mercenary hands a wild card cia agent joins forces with three international agents on a lethal mission to retrieve it while staying a step ahead of a mysterious woman who's tracking their ever...,the 355
autumnreeser antoniocupo dannytrejo patriciaharrisseeley horror thriller while vacationing in mexico a couple discovers their son's disappearance is tied to a supernatural curse.,the legend of la llorona
mickeyrourke michaeljaiwhite asifakbar action thriller a dea agent returns home with ptsd after a botched mission and must now protect his family from a home invasion when a recently freed convict and his henchmen come after their stash of millions hidden inside of the agent's home.,the commando
timothyv.murphy brucewillis edwarddrake action thriller an ex-nypd officer-turned-sheriff of a small rural georgia town has to contend with a gang of thieves who have taken a wealthy doctor hostage.,american siege
"melissabarrera masongooding jennaortega mattbettinelli-olpin,tylergillett horror mystery a year after the murder of her mother a teenage girl is terrorized by a new killer who targets the girl and her friends by using horror films as part of a deadly game.",scream
"andysamberg selenagomez kathrynhahn jenniferkluska,derekdrymon none none",hotel transylvania: transformania
cameronmonaghan frankgrillo lillykrug luisprieto crime drama thriller a perfect family's dynamic is ruined by a kidnapper's brutally efficient plot.,shattered
lauramarano menamassoud rickjacobson comedy family romance new york hairdresser izzy seizes the chance to work at the wedding of a charming prince but when sparks between them fly will love or duty prevail?,the royal treatment
abigailcowen tomlewis loganmarshall-green d.j.caruso drama romance sold into prostitution as a child angel knows nothing but betrayal. can her heart ever be mended? based upon the novel by francine rivers.,redeeming love
piercebrosnan kayascodelario benjaminwalker seanmcnamara action adventure family king louis xiv's quest for immortality leads him to capture and steal a mermaid's life force a move that is further complicated by his illegitimate daughter's discovery of the creature.,the king's daughter
christianconvery dennisquaid queenlatifah raygiarratana family a young boy discovers a caged tiger in the woods near his home.,the tiger rising
brucedern billyzane tonytodd justinlee action horror set in the late 1980s a satanic cult has a singular focus of unleashing hell on earth. with the help of an ancient incantation they conjure a demon and its members are tasked with feeding it the populous of a nearby small south...,hellblazers
jennaortega maddieziegler nilesfitch meganpark drama high schooler vada navigates the emotional fallout she experiences in the wake of a school tragedy. relationships with her family friends and view of the world are forever altered.,the fallout
"kevinjames taylorlautner robschneider charleskinnane,danielkinnane comedy sport the story about new orleans saints head coach sean payton coaching his son's 6th grade football team when payton was suspended for the entire 2012 season as a result of his role in the saints' bountygate scandal.",home team
simonpegg utkarshambudkar justinamachado johnc.donkin animation adventure comedy the ice age adventures of buck wild continues the escapades of the possum brothers crash and eddie who set out to find a place of their own. together with the one-eyed weasel buck wild they face the dinosaurs who inhabit the los...,the ice age adventures of buck wild
adrienbrody glennfleshler mykeltiwilliamson paulsolet action crime drama tormented by his past a garbage man named clean attempts a quiet life of redemption. but soon finds himself forced to reconcile with the violence of his past.,clean
