tags,title
andreariseborough demiánbichir johncho nicolaspesce horror mystery thriller an american nurse living and working in tokyo is exposed to a mysterious supernatural curse one that locks a person in a powerful rage before claiming their life and spreading to another victim.,the grudge
kristenstewart vincentcassel jessicahenwick williameubank action horror sci-fi a crew of oceanic researchers working for a deep sea drilling company try to get to safety after a mysterious earthquake devastates their deepwater research and drilling facility located at the bottom of the mariana trench.,underwater
tiffanyhaddish rosebyrne salmahayek miguelarteta comedy two friends with very different ideals start a beauty company together. one is more practical while the other wants to earn her fortune and live a lavish lifestyle.,like a boss
richardgere peterdinklage waltongoggins jonavnet drama three christs follows dr. alan stone who is treating three paranoid schizophrenic patients at the ypsilanti state hospital in michigan each of whom believed they were jesus christ. what transpires is both comic and deeply moving.,three christs
joshhartnett margaritalevieva chandlerriggs anthonyjerjen thriller crime thriller about three siblings in appalachia getting by as local opioid dealers trying not to get caught in the spiral of violence that comes with the territory.,inherit the viper
freyatingley simonabkarian rutgerhauer andrewdesmond music mystery thriller a gifted musician inherits a mansion after her long lost father dies under mysterious circumstances. she discovers his last musical masterpiece riddled with cryptic symbols that unravels an evil secret.,the sonata
menasuvari nickstahl tarynmanning danielfarrands crime horror mystery inspired by true events the film follows oj simpson's ex-wife nicole brown simpson in the last days before her tragic death on june 12th 1994 as seen from her point of view.,the murder of nicole brown simpson
willsmith martinlawrence vanessahudgens adilelarbiandbilallfallah action comedy crime miami detectives mike lowrey and marcus burnett must face off against a mother-and-son pair of drug lords who wreak vengeful havoc on their city.,bad boys for life
robertdowneyjr. antoniobanderas michaelsheen stephengaghan adventure comedy family a physician who can talk to animals embarks on an adventure to find a legendary island with a young apprentice and a crew of strange pets.,dolittle
crystalr.fox phyliciarashad breshawebb tylerperry thriller disheartened since her ex-husband's affair grace waters feels restored by a new romance. but when secrets erode her short-lived joy grace's vulnerable side turns violent.,a fall from grace
matthewmcconaughey charliehunnam henrygolding guyritchie action comedy crime an american expat tries to sell off his highly profitable marijuana empire in london triggering plots schemes bribery and blackmail in an attempt to steal his domain out from under him.,the gentlemen
"mackenziedavis finnwolfhard brooklynnprince floriasigismondi drama horror mystery a young governess is hired to look after an orphaned girl but the return of the girl's problematic brother uncovers secrets from their past. a modern take on henry james' novella ""the turn of the screw.""",the turning
"sebastianstan christopherplummer williamhurt toddrobinson drama war thirty-four years after his death airman william h. ""pits"" pitsenbarger is awarded the nation's highest military honor for his actions on the battlefield.",the last full measure
terrycrews ludacris jamilavelazquez willforbes drama thriller when two immigrant kids on the run from his former south los angeles gang leader stumble into his life john is forced to reconcile with his past in order to try and give them a future.,john henry
blakelively judelaw sterlingk.brown reedmorano action drama mystery a woman seeks revenge against those who orchestrated a plane crash that killed her family.,the rhythm section
"sophialillis sammyleakey charlesbabalola ozperkins fantasy gretel a wisconsin film shot in and around the hills of wisconsin's driftless region is a dark fable of survival and madness. produced by editor anthony wood and tom muschitz ""gretel"" uses elements of ""hansel and gretel"" to tel...",gretel & hansel
juliagarner matthewmacfadyen kittygreen drama a searing look at a day in the life of an assistant to a powerful executive. as jane follows her daily routine she grows increasingly aware of the insidious abuse that threatens every aspect of her position.,the assistant
margotrobbie maryelizabethwinstead jurneesmollett-bell cathyyan action adventure comedy after splitting with the joker harley quinn joins superheroines black canary huntress and renee montoya to save a young girl from an evil crime lord.,birds of prey
"rileykeough jaedenmartell liamchugh veronikafranz,severinfiala(directors/screenplay);sergiocasci(screenplay);rileykeough,jaedenmartell,liamchugh,richardarmitage,aliciasilverstone drama horror mystery a soon-to-be stepmom is snowed in with her fiancé's two children at a remote holiday village. just as relations begin to thaw between the trio some strange and frightening events take place.",the lodge
winslowfegley ophelialovibond craigrobinson tommccarthy adventure comedy drama an 11-year-old boy who believes that he is the best detective in town runs the agency total failures with his best friend an imaginary 1 500-pound polar bear.,timmy failure: mistakes were made
alisonbrie debbyryan johnpaulreynolds jeffbaena drama mystery thriller sarah a socially isolated woman with a fondness for arts and crafts horses and supernatural crime shows finds her increasingly lucid dreams trickling into her waking life.,horse girl
lanacondor noahcentineo jordanfisher michaelfimognari comedy drama romance lara jean and peter have just taken their relationship from pretend to officially official when another recipient of one of her old love letters enters the picture.,to all the boys: p.s. i still love you
jamesmarsden benschwartz tikasumpter jefffowler action adventure comedy after discovering a small blue fast hedgehog a small-town police officer must help him defeat an evil genius who wants to do experiments on him.,sonic the hedgehog
michaelpeña maggieq lucyhale jeffwadlow fantasy horror mystery when the owner and operator of a luxurious island invites a collection of guests to live out their most elaborate fantasies in relative seclusion chaos quickly descends.,fantasy island
issarae lakeithstanfield chelseaperetti stellameghie drama romance a series of intertwining love stories set in the past and in the present.,the photograph
"julialouis-dreyfus willferrell mirandaotto natfaxon,jimrash comedy drama barely escaping an avalanche during a family ski vacation in the alps a married couple is thrown into disarray as they are forced to reevaluate their lives and how they feel about each other.",downhill
drewvanacker poppydelevingne natashabassett drewmylrea action adventure comedy when the world's greatest spy meets the woman of his dreams he abandons his adventurous existence and settles into the security of suburbia.,spy intervention
andreariseborough taharrahim zoekazan lonescherfig drama the story of people whose lives intertwine during a dramatic winter in new york city.,the kindness of strangers
harrisonford omarsy caragee chrissanders adventure drama family a sled dog struggles for survival in the wilds of the yukon.,the call of the wild
anyataylor-joy johnnyflynn josho'connor autumndewilde comedy drama romance while matchmaking for friends and neighbours a young 19th century englishwoman nearly misses her own chance at love.,emma
"annehathaway benaffleck rosieperez deerees(director,screenplay);marcovillalobos(screenplay);annehathaway,benaffleck,rosieperez,edigathegi,melrodriguez,tobyjones,willemdafoe crime drama thriller a veteran d.c. journalist loses the thread of her own narrative when a guilt-propelled errand for her father thrusts her from byline to unwitting subject in the very story she's trying to break. adapted from joan didion's namesake...",the last thing he wanted
katieholmes owainyeoman christopherconvery williambrentbell drama horror mystery after a family moves into the heelshire mansion their young son soon makes friends with a life-like doll called brahms.,brahms: the boy ii
tyesheridan anadearmas helenhunt michaelcristofer crime drama mystery a voyeuristic hotel clerk becomes the subject of a murder investigation.,the night clerk
brianquinn joegatto salvulcano chrishenchy comedy the story of a humiliating high school mishap from 1992 that sends the impractical jokers on the road competing in hidden-camera challenges for the chance to turn back the clock and redeem three of the four jokers.,impractical jokers: the movie
elisabethmoss aldishodge stormreid leighwhannell drama horror mystery when cecilia's abusive ex takes his own life and leaves her his fortune she suspects his death was a hoax. as a series of coincidences turn lethal cecilia works to prove that she is being hunted by someone nobody can see.,the invisible man
ellefanning justicesmith alexandrashipp bretthaley drama romance the story of violet and theodore who meet and change each other's lives forever. as they struggle with the emotional and physical scars of their past they discover that even the smallest places and moments can mean something.,all the bright places
tommielynnmilazzo shaywalker benhzeitlin drama fantasy lost on a mysterious island where aging and time have come unglued wendy must fight to save her family her freedom and the joyous spirit of youth from the deadly peril of growing up.,wendy
danielradcliffe samaraweaving natashaliubordizzo jasonleihowden action comedy crime a guy relies on his newly-acquired gladiator skills to save his ex-girlfriend from kidnappers.,guns akimbo
tomholland chrispratt julialouis-dreyfus danscanlon animation adventure comedy two elven brothers embark on a quest to bring their father back for one day.,onward
benaffleck almadrigal michaelawatkins gavino'connor adventure drama history siberian gulag escapees travel four thousand miles by foot to freedom in india.,the way back
markwahlberg winstonduke alanarkin peterberg action comedy drama when two boston police officers are murdered ex-cop spenser teams up with his no-nonsense roommate hawk to take down criminals.,spenser confidential
anthonymackie nicholashoult nialong georgenolfi biography drama in the 1960s two african-american entrepreneurs hire a working-class white man to pretend to be the head of their business empire while they pose as a janitor and chauffeur.,the banker
claesbang elizabethdebicki mickjagger giuseppecapotondi drama thriller hired to steal a rare painting from one of the most enigmatic painters of all time an ambitious art dealer becomes consumed by his own greed and insecurity as the operation spins out of control.,the burnt orange heresy
haleybennett austinstowell elizabethmarvel carlomirabella-davis drama thriller hunter a newly pregnant housewife finds herself increasingly compelled to consume dangerous objects. as her husband and his family tighten their control over her life she must confront the dark secret behind her new obsession.,swallow
johnmagaro orionhall renéauberjonois kellyreichardt drama western a skilled cook has traveled west and joined a group of fur trappers in oregon though he only finds true connection with a chinese immigrant also seeking his fortune. soon the two collaborate on a successful business.,first cow
vindiesel eizagonzález samheughan daves.f.wilson action adventure sci-fi ray garrison a slain soldier is re-animated with superpowers.,bloodshot
bettygilpin ikebarinholtz amymadigan craigzobel drama a teacher lives a lonely life all the while struggling over his son's custody. his life slowly gets better as he finds love and receives good news from his son but his new luck is about to be brutally shattered by an innocent li...,the hunt
kjapa brittrobertson shaniatwain erwinbrothers biography drama music the true-life story of christian music star jeremy camp and his journey of love and loss that looks to prove there is always hope.,i still believe
amyryan thomasinmckenzie lolakirke lizgarbus crime drama mystery when mari gilbert's daughter disappears police inaction drives her own investigation into the gated long island community where shannan was last seen. her search brings attention to over a dozen murdered sex workers.,lost girls
gracevanderwaal grahamverchere giancarloesposito juliahart action adventure crime teenager courtney whitmore joins the justice society of america. based on the character from dc comics.,stargirl
javierbardem ellefanning lauralinney sallypotter drama a day in the life of leo and his daughter molly as he floats through alternate lives he could have lived leading molly to wrestle with her own path as she considers her future.,the roads not taken
sidneyflanigan taliaryder theodorepellerin elizahittman drama a pair of teenage girls in rural pennsylvania travel to new york city to seek out medical help after an unintended pregnancy.,never rarely sometimes always
petedavidson griffingluck joncryer jasonorley comedy drama a suburban teenager comes of age under the destructive guidance of his best friend an aimless college dropout.,big time adolescence
simonpegg junotemple alexandradaddario katharineo'brien drama when an acclaimed music producer goes off his medication for schizophrenia his friends chase him though the la music scene to help commit him to a psychiatric hospital revealing the troubling inadequacies of our mental health ca...,lost transmissions
nofilmshadbeenreleasedonthisdateasresultingtheclosureoftheaterscausedbythecovid-19pandemic nofilmshadbeenreleasedonthisdateasresultingtheclosureoftheaterscausedbythecovid-19pandemic none none,no films had been released on this date as resulting the closure of theaters caused by the covid-19 pandemic
jesseeisenberg edharris clémencepoésy jonathanjakubowicz biography drama history the story of mime marcel marceau as he works with a group of jewish boy scouts and the french resistance to save the lives of ten thousand orphans during world war ii.,resistance
mamoudouathie courtneyb.vance niecynash prenticepenny drama elijah must balance his dream of becoming a master sommelier with his father's expectations that he carry on the family's memphis bbq joint.,uncorked
lorcanfinnegan(director);imogenpoots jesseeisenberg lorcanfinnegan horror mystery sci-fi a young couple looking for the perfect home find themselves trapped in a mysterious labyrinth-like neighborhood of identical houses.,vivarium
edhelms tarajip.henson bettygilpin michaeldowse short comedy romance some people take their coffee straight others take it with a little cream and sugar.,coffee & kareem
annakendrick justintimberlake rachelbloom waltdohrn music,trolls world tour
oliviamunn samclaflin freidapinto deancraig comedy romance while trying to make his sister's wedding day go smoothly jack finds himself juggling an angry ex-girlfriend an uninvited guest with a secret a misplaced sleep sedative and the girl who got away in alternate versions of the sa...,love wedding repeat
sethcarr tichinaarnold kenmarino jaykaras comedy romance sport a bankrupt entrepreneur attempts to recoup some of her losses by getting a washed-out boxer she picked up as a tax loss back into the ring - an idea her protégé isn't fond of.,the main event
alexandradaddario keeanjohnson loganmiller marcmeyers horror music thriller three best friends embark on a road trip to a heavy-metal show where they bond with three aspiring musicians and head off to one of the girls' country home for an after-party.,we summon the darkness
lesliebibb joshduhamel noradunn vickywight drama romance trying to put her life back together after her husband's death libby and her children move to her estranged aunt's goat farm in central texas.,the lost husband
"codyreneecameron russellcoker robinsydney charlesband comedy horror barbie returns home after a quarrel over toilet paper only to turn on the news to discover that there is an outbreak of ""coronavirus"". what's more the virus appears to turn people into zombies. an island and a strip club are attacked.",corona zombies
wagnermoura anadearmas garretdillahunt gregbarker biography drama history a sweeping drama set in the chaotic aftermath of the us invasion of iraq where the life of top un diplomat sergio vieira de mello hangs in the balance during the most treacherous mission of his career.,sergio
willforte mayarudolph alessiacara krispearn animation adventure comedy convinced they'd be better off raising themselves the willoughby children hatch a sneaky plan to send their selfish parents on vacation. the siblings then embark on their own high-flying adventure to find the true meaning of family.,the willoughbys
chrishemsworth rudhrakshjaiswal randeephooda samhargrave action thriller tyler rake a fearless black market mercenary embarks on the most deadly extraction of his career when he's enlisted to rescue the kidnapped son of an imprisoned international crime lord.,extraction
tomfelton tamminsursok wendimclendon-covey seanmcewen comedy drama a dysfunctional brother and sister are forced to come to terms with each other and themselves over their recently deceased mother's final wish.,braking for whales
hughjackman allisonjanney geraldineviswanathan coryfinley crime drama an examination on the effect of franco-era religious schooling and sexual abuse on the lives of two longtime friends.,bad education
camilamendes jessiet.usher jamiechung michaelscott thriller when a wealthy elderly man dies and unexpectedly leaves his estate to his new caregiver she's drawn into a web of deception and murder. if she's going to survive she'll have to question everyone's motives - even the people she l...,dangerous lies
ashtonsanders jeffreywright yahyaabdul-mateenii joerobertcole drama a young man who committed a homicide deals with the repercussions of his action.,all day and a night
john-paulhoward pipercurda zarahmahler thepiercebrothers horror mystery a defiant teenage boy struggling with his parents' imminent divorce faces off with a thousand year-old witch who is living beneath the skin of and posing as the woman next door.,the wretched
leahlewis danieldiemer alexxislemire alicewu comedy drama romance when smart but cash-strapped teen ellie chu agrees to write a love letter for a jock she doesn't expect to become his friend - or fall for his crush.,the half of it
liamhemsworth clarkduke michaelkennethwilliams clarkduke crime thriller kyle and swin live by the orders of an arkansas-based drug kingpin named frog whom they've never met. but when a deal goes horribly wrong the consequences are deadly.,arkansas
jessicarothe joshwhitehouse maewhitman rachelleegoldenberg comedy romance julie a girl from the valley meets randy a punk from the city. they are from different worlds and find love. somehow they need to stay together in spite of her trendy shallow friends.,valley girl
tomhardy lindacardellini jacklowden joshtrank biography crime drama after 10 years in prison 47-year-old al capone starts to suffer from dementia and comes to be haunted by his violent past.,capone
davidspade laurenlapkus geoffpierson tylerspindel comedy romance tim thinks he's invited the woman of his dreams on a work retreat to hawaii realizing too late he mistakenly texted someone from a nightmare blind date.,the wrong missy
willforte markwahlberg jasonisaacs tonycervone animation adventure comedy scooby and the gang face their most challenging mystery ever: a plot to unleash the ghost dog cerberus upon the world. as they race to stop this dogpocalypse the gang discovers that scooby has an epic destiny greater than anyone ...,scoob!
tomberenger kristenhager marksivertsen johnbarr drama thriller a retired veteran hunting in northern maine stumbles across a dead woman and a large sum of money.,blood and money
maryj.blige natwolff davidzayas malikvitthal action adventure crime when a routine traffic stop results in the unexplained grisly death of her colleague a cop realizes footage of the incident will play for her eyes only. as the attacks mount she races to understand the supernatural force behind...,body cam
issarae kumailnanjiani paulsparks michaelshowalter action comedy crime a couple (issa rae and kumail nanjiani) experiences a defining moment in their relationship when they are unintentionally embroiled in a murder mystery.,the lovebirds
lilycollins simonpegg chacecrawford vaughnstein drama mystery thriller the patriarch of a wealthy and powerful family suddenly passes away leaving his daughter with a shocking secret inheritance that threatens to unravel and destroy the family.,inheritance
brucewillis chadmichaelmurray matteskandari action drama thriller a disgraced doctor and his family are held hostage at their home by criminals on the run when a robbery-gone-awry requires them to seek immediate medical attention.,survive the night
joshclark nicholasashebateman drama fantasy mystery in whithren a line of women pass a recurring dream through multiple generations.,the wanting mare
dakotajohnson traceeellisross kelvinharrisonjr. nishaganatra drama music romance a superstar singer and her overworked personal assistant are presented with a choice that could alter the course of their respective careers.,the high note
elisabethmoss michaelstuhlbarg odessayoung josephinedecker biography drama mystery a famous horror writer finds inspiration for her next book after she and her husband take in a young couple.,shirley
édgarramírez annabrewster michaelpitt oliviermegaton action crime drama in the not-too-distant future as a final response to terrorism and crime the u.s. government plans to broadcast a signal making it impossible for anyone to knowingly commit unlawful acts.,the last days of american crime
"luluwilson kevinjames joelmchale jonathanmilott,carymurnion action crime drama a teenager's weekend at a lake house with her father takes a turn for the worse when a group of convicts wreaks havoc on their lives.",becky
joshduhamel meganfox giljunger comedy drama family a 12-year-old tech prodigy's science experiment goes awry and he forges a telepathic connection with his dog. the duo join forces and use their unique perspectives on life to comically overcome complications of family and school.,think like a dog
delroylindo jonathanmajors clarkepeters spikelee adventure drama war four african-american vets battle the forces of man and nature when they return to vietnam seeking the remains of their fallen squad leader and the gold fortune he helped them hide.,da 5 bloods
ferdiashaw laramcdonnell joshgad kennethbranagh adventure family fantasy artemis fowl a young criminal prodigy hunts down a secret society of fairies to find his missing father.,artemis fowl
petedavidson marisatomei billburr juddapatow comedy drama scott has been a case of arrested development since his firefighter dad died. he spends his days smoking weed and dreaming of being a tattoo artist until events force him to grapple with his grief and take his first steps forward ...,the king of staten island
chadmichaelcollins tomberenger sayakaakimoto kaareandrews action thriller legendary sniper thomas beckett and his son special ops sniper brandon beckett are on the run from the cia russian mercenaries and a yakuza-trained assassin with sniper skills that rival both legendary sharp shooters.,sniper: assassin's end
kevinbacon amandaseyfried davidkoepp horror thriller a former banker his actress wife and their spirited daughter book a vacation at an isolated modern home in the welsh countryside where nothing is quite as it seems.,you should have left
penélopecruz édgarramírez gaelgarcíabernal olivierassayas crime drama thriller the story of five cuban political prisoners who had been imprisoned by the united states since the late 1990s on charges of espionage and murder.,wasp network
elissadown(director);sofiacarson enricocolantoni wolfgangnovogratz elissadown comedy drama family after failing to find success on broadway april returns to her hometown and reluctantly is recruited to train a misfit group of young dancers for a big competition.,feel the beat
josephgordon-levitt patrickvollrath action drama thriller when terrorists try to seize control of a berlin-paris flight a soft-spoken american co-pilot struggles to save the lives of the passengers and crew while forging a surprising connection with one of the hijackers.,7500
"bonnicohen jonshenk(director) bonnicohen,jonshenk documentary crime sport follow the indianapolis star reporters that broke the story about usa gymnastics doctor larry nassar's abuse and hear from gymnasts like maggie nichols.",athlete a
willferrell rachelmcadams danstevens daviddobkin comedy musical when aspiring musicians lars and sigrit are given the opportunity to represent their country at the world's biggest song competition they finally have a chance to prove that any dream worth having is a dream worth fighting for.,eurovision song contest: the story of fire saga
stevecarell chriscooper mackenziedavis jonstewart comedy drama a democratic strategist helps a retired veteran run for mayor in a small conservative midwest town.,irresistible
davebautista chloecoleman kristenschaal petersegal action comedy a hardened cia operative finds himself at the mercy of a precocious 9-year-old girl having been sent undercover to surveil her family.,my spy
ericedelstein bobbymoynihan demetrimartin danielchong animation adventure comedy grizz panda and ice bear embark on an adventure to canada after an agent from the department of national wildlife control tries to put an end to their hi-jinx.,we bare bears: the movie
thomaskail(director);lin-manuelmiranda phillipasoo leslieodomjr. thomaskail biography drama history the real life of one of america's foremost founding fathers and first secretary of the treasury alexander hamilton. captured live on broadway from the richard rodgers theater with the original broadway cast.,hamilton
emilymortimer robynnevin bellaheathcote natalieerikajames drama horror mystery a daughter mother and grandmother are haunted by a manifestation of dementia that consumes their family's home.,relic
annacamp robbieamell nasimpedrad lp comedy romance a panicked young woman with her reluctant friends in tow rushes to mexico to try and delete a ranting email she sent to her new boyfriend.,desperados
charlizetheron kikilayne marwankenzari ginaprince-bythewood action thriller a covert team of immortal mercenaries is suddenly exposed and must now fight to keep their identity a secret just as an unexpected new member is discovered.,the old guard
adamcopeland kelseygrammer thomasjane andrewlawrence comedy crime thriller a professional thief with $40 million in debt and his family's life on the line must commit one final heist - rob a futuristic airborne casino filled with the world's most dangerous criminals.,money plane
tomhanks stephengraham robmorgan aaronschneider action drama history several months after the u.s. entry into world war ii an inexperienced u.s. navy commander must lead an allied convoy being stalked by a german submarine wolf pack.,greyhound
andysamberg cristinmilioti petergallagher maxbarbakow comedy fantasy mystery stuck in a time loop two wedding guests develop a budding romance while living the same day over and over again.,palm springs
nialong omarepps stephenbishop petersullivan thriller ellie tries to mend her marriage with her husband marcus after a brief encounter with an old friend david only to find that david is more dangerous and unstable than she'd realized.,fatal affair
annabellewallis herofiennes-tiffin nikolajcoster-waldau robinpront action crime mystery a reformed hunter living in isolation on a wildlife sanctuary becomes involved in a deadly game of cat and mouse when he and the local sheriff set out to track a vicious killer who may have kidnapped his daughter years ago.,the silencing
lucyhale leonidasgulaptis jackiecruz thebrothersriedell comedy romance after being accused of being too inhibited by her ex-boyfriend a violinist creates a rather wild to-do list that sends her on a whirlwind journey of self-discovery.,a nice girl like you
brentonthwaites theorossi skylarastin ericbress horror thriller war five american soldiers assigned to hold a french chateau near the end of world war ii. this unexpected respite quickly descends into madness when they encounter a supernatural enemy more terrifying than anything seen on the battle...,ghosts of war
"johnkrasinski emilyblunt ianmckellen scottchristiansava,tonybancroft comedy family musical mayhem and zaniness ensue when a valuable painting goes missing during a party in honor of famed african explorer captain spaulding.",animal crackers
joeyking joelcourtney jacobelordi vincemarcello comedy romance in the sequel to 2018's the kissing booth high school senior elle juggles a long-distance relationship with her dreamy boyfriend noah college applications and a new friendship with a handsome classmate that could change everyth...,the kissing booth 2
danstevens alisonbrie sheilavand davefranco drama horror mystery two couples rent a vacation home for what should be a celebratory weekend get-away.,the rental
taniaraymonde nathanielbuzolic emersonbrooks johnpogue action horror sci-fi studying the effects of climate change off the coast of mozambique a marine biologist and her team confront three genetically enhanced bull sharks. now a new bloodbath is waiting to happen in the name of science. will humans nev...,deep blue sea 3
"beyoncé beyoncé,emmanueladjei,blitzbazawule,ibraake,jennnkiru,jakenava,pierredebusschere,dikaylrimmasch adventure drama fantasy visual album from beyoncé inspired by 'the lion king'.",black is king
katieholmes joshlucas jerryo'connell andytennant drama romance a feature film adaptation of the self-help book 'the secret' which focuses on the power of positive thinking.,the secret: dare to dream
gemmaarterton gugumbatha-raw penelopewilton jessicaswale drama romance war during world war ii an englishwoman opens her heart to an evacuee after initially resolving to be rid of him in this moving journey of womanhood love and friendship.,summerland
katelynsheil janeadams kentuckeraudley amyseimetz drama fantasy horror amy thinks she's dying tomorrow...and it's contagious.,she dies tomorrow
sethrogen sarahsnook brandontrost comedy fantasy an immigrant worker at a pickle factory is accidentally preserved for 100 years and wakes up in modern-day brooklyn.,an american pickle
"bobbysoto shialabeouf cinthyacarmona davidayer action crime drama a ""tax collector"" working for a local crime lord finds his family's safety compromised when the rival of his boss shows up in l.a. and upends the business.",the tax collector
markrylance johnnydepp robertpattinson ciroguerra drama at an isolated frontier outpost a colonial magistrate suffers a crisis of conscience when an army colonel arrives looking to interrogate the locals about an impending uprising using cruel tactics that horrify the magistrate.,waiting for the barbarians
"jamiefoxx josephgordon-levitt dominiquefishback henryjoost,arielschulman action crime sci-fi when a pill that gives its users unpredictable superpowers for five minutes hits the streets of new orleans a teenage dealer and a local cop must team with an ex-soldier to take down the group responsible for its creation.",project power
tomkenny awkwafina mattberry timhill none none,the spongebob movie: sponge on the run (canadian theatrical release)
adamdevine gillianjacobs jeffreytambor markwaters comedy family fantasy at the urging of his former mentor and magic camp owner roy preston andy returns as a counselor to the camp of his youth hoping to reignite his career.,magic camp
joekeery sasheerzamata mischabarton eugenekotlyarenko action comedy crime thirsty for a following kurt kunkle is a rideshare driver who has figured out a deadly plan to go viral.,spree
"amandamcbaine jessemoss(directors) amandamcbaine,jessemoss documentary a thousand 17-year-old boys from texas join together to build a representative government from the ground up.",boys state
samrockwell angelinajolie dannydevito theasharrock adventure comedy drama a gorilla named ivan tries to piece together his past with the help of an elephant named ruby as they hatch a plan to escape from captivity.,the one and only ivan
russellcrowe carenpistorius gabrielbateman derrickborte action thriller after a confrontation with an unstable man at an intersection a woman becomes the target of his rage.,unhinged
ethanhawke evehewson ebonmoss-bachrach michaelalmereyda biography drama a freewheeling take on visionary inventor nikola tesla his interactions with thomas edison and j.p. morgan's daughter anne and his breakthroughs in transmitting electrical power and light.,tesla
shameikmoore t.i. demetriusshippjr. rza action crime drama set after hurricane katrina four boyhood friends out of options reluctantly accept an offer to pull off a dangerous heist in the heart of new orleans.,cut throat city
charlieplummer andygarcía taylorrussell thorfreudenthal drama romance diagnosed with a mental illness halfway through his senior year of high school a witty introspective teen struggles to keep it a secret while falling in love with a brilliant classmate who inspires him to not be defined by his c...,words on bathroom walls
jessemetcalfe brucewillis matteskandari action thriller the work of billionaire tech ceo donovan chalmers (willis) is so valuable that he hires mercenaries to protect it and a terrorist group kidnaps his daughter just to get it.,hard kill
austinabrams lilireinhart richardtanne drama romance a high-school transfer student finds a new passion when she begins to work on the school's newspaper.,chemical hearts
johndavidwashington robertpattinson elizabethdebicki christophernolan action sci-fi thriller armed with only one word tenet and fighting for the survival of the entire world a protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.,tenet
keanureeves alexwinter kristenschaal deanparisot comedy family history what really happened during shakespeare's 'lost years'? hopeless lute-player bill shakespeare leaves his home to follow his dream.,bill & ted face the music
maisiewilliams anyataylor-joy charlieheaton joshboone action horror mystery five young mutants just discovering their abilities while held in a secret facility against their will fight to escape their past sins and save themselves.,the new mutants
devpatel aneurinbarnard petercapaldi armandoiannucci comedy drama a modern take on charles dickens's classic tale of a young orphan who is able to triumph over many obstacles.,the personal history of david copperfield
jesseplemons jessiebuckley tonicollette charliekaufman drama thriller full of misgivings a young woman travels with her new boyfriend to his parents' secluded farm. upon arriving she comes to question everything she thought she knew about him and herself.,i'm thinking of ending things
vincentmartella ashleytisdale daviderrigojr. bobbowen animation adventure comedy the famed stepbrother inventors know what they're gonna do today. they're gonna rescue their sister from an alien abduction.,phineas and ferb the movie: candace against the universe
auliʻicravalho rhenzyfeliz judyreyes bretthaley drama an optimistic high schooler with musical aspirations must learn to accept help from her friends to overcome her personal hardships and fulfill her dreams.,all together now
meganfox philipwinchester m.j.bassett action drama horror an american journalist on assignment in the australian outback encounters a man-eating crocodile while trapped on a rapidly flooding mud island.,rogue
genesisrodriguez vincentpiazza louiscancelmi brendanwalsh drama thriller a married couple find themselves trapped in their frozen vehicle after a blizzard and struggle to survive amid plunging temperatures and unforeseen obstacles.,centigrade
"skylergisondo eduardofranco dexterdarden jeremygarelick comedy set in a time where all drugs and alcohol are illegal the only day anyone can participate in the ""fun"" is on binge day.",the binge
rachaelleighcook damonwayansjr. markstevenjohnson comedy romance to save her small law firm earnest lawyer susan takes a high-paying case from nick a charming new client who wants to sue a dating website that guarantees love. but as the case heats up so do susan and nick's feelings for each ...,"love, guaranteed"
liuyifei donnieyen tzima nikicaro animation adventure comedy to save her father from death in the army a young maiden secretly goes in his place and becomes one of china's greatest heroines in the process.,mulan
